18522 28384
4065 8095 5814
10379 13278 9432
1823 8580 28306
7622 15617 21540
12114 3887 637
9380 2697 27410
179 12157 10144
6569 15015 28041
2799 12219 16292
10725 3891 14509
5381 4732 2418
8608 12114 11354
17863 12933 22670
10461 2627 16344
5524 17155 11244
11285 13572 24433
2097 15491 24199
15521 5564 3881
3823 11552 31532
2270 14306 29396
6146 12531 27184
14838 1861 5686
2862 11271 2833
12629 6803 12274
5761 2946 9515
578 11636 12405
7059 14712 16907
3449 2826 18974
6136 16687 18695
1269 2588 21077
8889 8083 26404
13705 12129 29516
15956 8068 16238
12852 6846 13468
11671 4588 24398
16613 8738 29962
13023 6736 20364
7957 437 6659
6802 2489 9711
7132 10834 2496
3330 2523 1217
3913 10121 2831
8938 9465 19626
598 752 29227
11349 5927 14987
12935 11671 9266
5620 8200 3695
10130 9013 790
5236 11671 31149
8270 14517 21025
8062 5130 16836
6909 1740 10075
6024 4216 4771
13293 12492 6263
9034 6024 13909
3709 11636 4633
5887 8411 8522
10752 5927 16011
12490 893 18874
14466 14128 7479
6478 6569 26059
8406 12467 32397
2845 6659 16263
1522 10868 4120
17232 8399 7880
1822 332 4839
330 13881 10393
17801 11388 19103
7773 5887 20682
14439 6672 15826
4795 12410 26015
11838 5236 4198
7490 1362 9961
2428 7091 10038
7164 2259 4326
8375 15015 28729
914 14009 22716
5007 8068 11463
1972 5623 23401
1679 10752 984
871 8095 16770
3748 15015 92
16355 10725 10520
12602 3823 1006
13340 198 5265
17328 2939 12434
5230 18456 30823
18433 13514 27724
7290 8559 23295
7507 515 30625
17286 5381 24858
1345 9582 11369
3600 10883 9871
10339 11636 27773
1896 7100 13903
17001 7103 8222
17358 2924 9694
3094 3315 29232
2160 8095 6091
9162 9769 19613
8195 1822 1486
11602 18486 374
11238 12247 32393
8231 5620 7602
5596 1740 19505
8511 2697 10394
14292 9013 4224
4277 13572 7998
797 437 6073
9054 6146 23951
5572 2751 18355
11226 2627 28400
14019 10834 28959
5288 10162 32338
14423 11226 14462
8837 11671 25156
4 3515 6545
8089 18056 7038
6271 17863 799
7109 13804 7361
6903 12935 609
5181 6659 26928
3327 15301 15491
2768 7091 4718
9907 6016 23020
7826 14019 29212
12901 9054 23122
5295 2501 12949
2245 272 22983
1024 9759 26864
1662 14019 28220
8447 16406 14011
4426 15956 16944
718 8068 13288
9740 2627 15493
8943 6846 20958
977 3494 11955
8651 14292 3762
1596 12492 31182
9621 18499 15344
6975 1887 12315
7915 10068 24195
8486 14009 15397
1804 7490 21908
2527 4426 22427
3758 15764 5242
3680 4381 27472
12319 8231 24599
3528 111 7996
11086 3923 14900
4390 5761 15445
4856 395 1457
6964 18486 23433
13207 12247 1199
962 10461 1100
11676 8068 11772
12553 14466 8824
9828 1679 2403
5486 12951 28265
12723 571 23220
14473 5887 21404
4180 15521 29086
5970 9907 24900
12677 8486 2225
12202 8600 11657
2195 7915 18464
8227 8231 8043
8435 6569 20769
13333 2862 7302
6029 3748 15607
11070 6697 28457
7016 15887 18185
4624 11200 11896
18188 4862 31643
8990 8943 21911
5414 7826 19709
2366 6846 22542
7549 5761 28492
8122 13514 12516
1153 15521 24350
3297 11200 30505
4776 296 4523
12715 6589 15841
12719 18433 3412
11837 4381 16014
3501 18433 8087
15624 2509 21711
188 6024 8653
13049 3913 30414
17937 12467 20554
10820 11238 26988
12987 7100 12213
14337 1024 16500
13053 13608 27315
1601 10345 6714
13614 16324 1591
7322 2489 17263
7640 18445 21781
3621 12285 23314
262 11086 17331
2595 2751 30658
13568 8447 31456
1216 4315 1769
13516 8486 1344
1207 12492 29547
12491 10911 9422
1167 12430 25825
16770 3600 28260
4354 1207 27024
1291 11349 8001
16447 2270 27795
12664 2315 1297
4295 1601 18160
8495 914 19164
7558 16687 21914
11797 1522 7651
5751 4100 6024
763 3709 29536
10760 1753 15970
841 8651 21656
2206 6357 8579
2297 11200 2248
7421 3449 30258
8229 14439 19663
8656 2939 24935
4133 9262 5799
12262 4354 13944
15060 1153 14084
9204 11636 21373
2198 9590 5568
5800 17863 22355
10591 16290 21964
10092 7118 13952
3463 16067 29670
1575 8524 19302
7150 8651 32588
524 12951 13193
1614 2799 28181
14640 14712 28379
9207 1512 22271
11897 5130 5946
8826 11897 6353
15135 14337 30132
13670 8399 15272
4337 12491 2089
9098 5230 12991
4127 3829 1369
11275 6136 9620
8338 13705 26255
180 8083 7553
5210 3137 17758
7355 437 28948
7987 2627 16689
2332 4214 6358
10611 7497 29589
3978 12987 20794
8830 1207 2957
4630 6727 7153
8595 7016 18260
7824 1024 26323
8781 2270 328
7237 17466 26904
2502 962 12294
380 9204 14244
10863 12531 25303
3949 6569 14208
16712 13770 15095
389 15491 487
2392 16623 30572
2791 3102 3944
16111 11259 11356
17074 13293 10247
16336 6909 35
5079 6569 13428
13095 8435 6049
15605 1740 12443
8870 11980 2157
1875 4271 14923
16943 18418 758
14001 10735 5793
10746 18466 16316
16957 10834 8051
7191 5210 25115
6921 12491 26107
13460 10339 18543
3537 6672 2667
700 1601 29803
9307 18522 24622
13986 2595 10239
11017 893 1289
16387 6803 21031
2647 6903 9561
11167 8524 17514
13309 262 21014
2132 11552 13571
12589 1575 7539
10628 12664 6879
2347 18022 14631
1370 15956 18422
7701 7957 7624
10907 17622 7083
9935 15624 25790
1272 5181 2621
12619 6802 1717
6774 8837 22372
4702 9471 11936
2190 5519 4528
16958 18445 21922
4578 10339 26963
336 1207 30328
12396 10611 14409
6538 10911 26432
436 14439 19238
10850 9759 24237
16278 17074 241
14956 11271 26116
14422 12719 32213
3177 6271 2943
13242 6024 16269
10397 6921 8419
11462 16943 13268
3390 4 16488
11630 3621 20552
3750 3709 17999
11104 1364 26746
2774 12467 30641
9390 9142 27170
595 6589 16241
12539 6569 4273
11077 7701 20563
9620 4337 22713
4368 7558 10151
8268 2347 20703
8709 11167 28175
4441 8656 10582
4453 15605 7232
11115 9590 25619
12419 8353 10192
8076 143 5946
3430 3887 24693
442 18299 8307
11754 11462 8255
7056 7824 17194
8397 8122 4523
1599 4702 17637
8755 3297 9384
6747 9162 568
7772 296 26599
12117 16324 31740
1621 977 28172
9324 6802 20435
11655 9740 16017
7248 18466 16420
4652 12117 8326
4109 1679 12049
17203 700 24941
2316 971 3345
14056 1475 9442
1994 10727 1851
17341 8411 22998
1687 15521 2660
17603 5970 14459
18414 4652 18329
18385 11070 14396
2276 9471 7071
18447 8524 20308
8691 7915 24191
10915 752 5599
7048 8229 330
7145 12748 9338
6789 14056 20375
4700 16512 19149
10198 14056 30566
13641 14517 5272
2130 13868 30064
6984 12719 5145
8549 3288 32018
14888 13868 7899
1436 13444 14919
2533 12935 9820
6125 965 12667
1802 5620 10248
14986 16690 21525
3269 14473 26737
10260 4277 29192
18316 9207 23514
17988 4315 20440
18292 332 21099
9815 8719 9670
2186 15060 18593
4768 11238 30757
11786 2315 11482
17413 3430 25104
10445 7772 4375
5546 11602 25326
17065 10628 11327
11411 2412 21635
17103 965 20613
2636 8608 12943
3133 10445 9420
5094 336 7713
16926 2872 3350
14124 3102 22047
13664 179 21088
1839 7640 3011
4085 7475 21627
16233 871 21748
5388 5130 28865
10015 14133 22468
17921 4856 24255
6375 7132 29047
534 4453 8219
9975 13842 24810
15683 11602 21355
8140 11104 12074
79 2588 20921
8878 4652 663
4579 12202 3293
7199 18486 2038
9155 6736 14594
12891 4381 31281
2485 6903 30181
295 2297 23737
8240 977 31925
15782 2132 1486
3434 2533 23969
17909 763 27919
6007 11797 9320
8359 2097 10275
2978 2332 23961
18020 7856 25184
3648 10130 32318
13276 8691 15790
11740 3463 11805
5183 7549 14889
1663 6016 30951
7629 9214 20258
16949 1522 1246
2048 436 7055
1349 5800 11741
3941 1861 19731
13473 3648 22987
1654 6024 25632
11152 595 6108
92 2845 8418
7543 11349 11822
16874 12157 30699
8490 11238 12706
12717 188 16106
2655 9828 12806
12618 12664 8387
10743 1740 30952
10416 2392 9706
8673 5564 25510
12505 5007 2255
7588 10416 4512
846 4652 30645
11971 14439 1422
1791 10130 7254
10646 4652 1391
195 4795 5912
4260 9905 1673
822 15521 24264
11801 12117 23405
3874 2270 30475
1420 7132 14343
9814 6736 32527
17898 5295 1051
8070 3829 1820
14579 9740 28348
891 6569 14102
2286 2489 21924
15259 14133 26903
705 11786 27000
7443 15782 17050
10446 1740 5208
8245 3621 23546
15709 1216 6729
3381 11152 31024
2855 4027 17253
10857 17988 2071
2477 12536 11726
14052 12725 22423
17128 4085 14807
11981 18486 6282
5030 1560 27870
5326 11167 1087
5827 6129 14289
758 12901 19933
10720 14128 21593
9674 8691 6937
1676 18456 30732
13733 5887 30201
2765 12536 32588
15502 1420 19616
12810 9465 31121
15344 12419 30032
15433 7322 16203
13826 11981 7207
16231 18414 32178
11988 2946 19784
9605 3978 32523
12438 8062 18788
7064 16447 30286
7026 12553 19433
12621 330 19262
5785 11349 12605
5838 296 24645
5822 13473 20682
16310 9307 7603
17918 10850 12753
14628 7237 17976
4291 17286 21304
15824 18385 18093
11466 13460 24010
9580 7957 26501
4972 12719 5544
11995 6975 4226
13275 962 2785
13985 11259 16258
17977 3288 12895
9193 296 31096
8851 6659 1969
12035 571 26872
18189 5414 27999
7332 3748 8155
2327 389 1216
1143 4337 6626
2772 9324 30611
3969 12619 15458
10736 9086 31946
8033 10720 13158
415 12319 3902
8676 2791 18115
17929 14640 10320
18509 8524 8723
10327 15764 10656
9473 143 8340
6836 13881 18528
16493 7322 2652
15828 4524 4586
3130 12723 25189
5493 17218 21670
10766 380 32085
340 4277 10596
9042 12285 10010
3088 13309 22707
12642 4776 12716
14690 9473 13532
2106 4271 29069
14491 16231 3212
11125 14052 31977
7204 11995 25426
8422 12951 2147
12814 17358 29814
2164 12410 2281
4278 2316 31200
11515 18188 25646
1258 3390 5119
4995 595 408
10950 12069 20718
11018 9380 3011
5986 16943 80
7636 7957 14061
15472 8870 3734
12776 4441 31453
14099 16324 23985
938 8227 28459
17899 13664 19029
4548 15624 28403
6812 198 5213
6698 2316 25942
10507 10345 1523
2225 5007 13910
2395 8595 18567
226 11988 12274
12969 1370 10164
5337 18022 23950
8532 4578 25003
15130 11238 3074
14217 13670 25023
12921 7497 22261
10021 11675 11545
10365 17218 18496
158 16355 13006
12030 15709 30867
630 1272 26559
5706 11128 19609
17052 7248 27670
3120 11285 27708
6667 295 15159
11195 8870 31211
10696 6921 26745
10698 7490 28135
13048 15605 31248
9190 6136 24065
6268 10857 24809
7480 15259 29777
839 17203 10080
9008 9471 30670
7637 180 2591
2272 13141 8146
2952 11349 5514
8757 12536 2025
13397 5546 26492
1042 10760 2943
5517 18056 10315
18515 12492 10569
2587 15060 32575
15570 4700 23680
12909 12642 1546
16369 3315 11841
17241 14292 23528
10641 11797 11186
561 11636 17505
6281 8195 32189
1044 6125 1771
14651 14009 9600
5402 8375 23526
8291 8070 27838
9807 10863 26777
4740 272 31741
9980 3913 28478
7852 17328 20499
2269 10646 14666
10655 9818 1862
1354 14099 12644
17030 17977 16985
621 7480 28622
5470 13095 12310
18441 11115 30517
3245 14331 23092
3256 13868 22806
10043 14628 170
11133 4368 16448
14745 15782 19663
2818 8427 17694
14279 12531 30679
1260 10725 17099
13795 10406 14481
6796 11115 29981
3641 9818 31337
15084 9262 18216
3068 11801 5152
12680 11995 14063
3898 2987 32445
4215 12030 24121
4730 17909 32154
865 8375 22978
18133 3949 20129
8216 10005 16193
3218 8195 26130
11475 2818 26623
10670 3068 31595
4982 11411 22765
7244 6667 21832
7655 7987 21115
11597 16613 24663
9303 15683 24994
246 13759 16813
1466 12531 30942
3696 2768 20261
10882 8719 29448
9093 6281 14486
5614 12396 15186
8306 10646 17139
10577 3133 31958
1636 3288 21182
393 7355 368
8238 685 13655
8494 15570 6879
14374 11152 12545
4243 18414 25191
9794 16813 29120
7252 11858 6749
15027 2587 32087
2352 14009 23149
5739 9769 782
6160 5007 14972
10272 12814 11278
2331 8406 14698
13571 13614 5999
17969 6024 29737
1626 10641 31051
3605 3218 14050
4496 13572 30331
2863 16770 21788
12738 705 24259
10207 5322 22307
12462 10591 26003
8181 3641 14883
3646 3600 32181
4572 18056 3504
8663 1823 5750
6904 14491 29873
2914 8422 14634
5629 9054 18668
3325 3605 31780
6440 8990 10150
1967 14056 31856
5356 3823 21258
9240 14279 8694
13190 18486 26463
9017 12852 27091
13246 8656 13363
9260 8240 24830
5649 11271 26880
3603 13473 28062
11114 13397 505
5918 2691 3996
13714 16687 19713
6489 12619 29009
12643 8399 18428
9843 2863 1889
8190 11285 20726
7085 4065 11043
13548 11754 30170
12064 9843 7464
16984 3325 29859
13891 3891 17850
2492 6747 32347
10252 2523 26481
792 2160 24127
9222 2332 23593
13786 1370 5084
8683 10379 28415
1157 6589 2567
219 9179 1577
16291 13992 11771
12411 14306 9653
12857 9034 4358
5370 2276 28827
5127 2316 17540
12405 11018 16302
5848 17103 4899
11042 6812 15934
15819 1094 27548
3341 15521 19098
4263 6160 4203
16463 16369 11437
4139 752 15659
4137 13630 8032
11734 11104 15775
7927 4630 14747
7268 13571 15246
10450 1614 2544
8022 8826 8192
10660 5848 17489
15676 8943 6525
3664 3648 17255
8003 11734 31833
2055 13992 26470
3788 12285 4921
18236 9013 6761
10922 15624 25934
8635 10445 1729
12845 630 17658
6484 5517 26043
9440 16949 29923
5256 2533 19916
14212 11200 10904
3110 1260 7455
16999 1094 32079
2082 1887 6649
4407 1362 13431
18360 10720 13428
7223 143 15618
14162 6921 3450
877 11838 7607
8959 5230 5389
6341 14640 25076
12832 8195 17980
11886 2160 28572
17805 15130 20817
7221 13986 26671
8665 3829 29988
11936 18299 24122
5977 17977 28307
11240 14001 8095
8534 3494 20876
3089 8022 27237
3606 7237 24883
11075 1804 25880
14397 4795 9472
5383 8959 29912
7019 5337 5877
13026 13246 23207
18010 7191 27445
8685 13048 11939
14761 7701 11168
12336 15491 11037
11009 2492 16969
408 11167 4825
8632 7244 9178
4800 13242 9433
11684 12438 10049
9144 2845 21882
15231 5572 19010
7514 5546 14293
18282 10005 15039
3690 3177 29598
18309 2855 2767
3332 2195 8948
5022 4627 2563
4937 6964 20707
1194 18189 26728
7013 1512 23689
464 8600 6180
652 1522 3608
2425 11167 26819
6405 7191 554
2011 4894 9102
14404 7132 1321
8898 15683 4738
4342 2186 23478
2405 6921 25534
14437 8422 5709
1027 9017 22923
15354 11886 15780
6571 12589 15165
18053 1512 12910
12707 15887 5543
10046 14745 22157
16621 5183 6618
460 12845 20184
3366 18188 24413
251 6803 13308
1980 1044 2859
5219 4214 11813
2484 2502 28432
14329 9262 2676
13237 3829 11589
12007 3606 10856
14305 6904 23127
7171 10655 3266
10465 18499 3002
10197 14099 27800
6224 8122 19356
2592 6774 24197
5304 12725 6867
4638 18056 15678
16808 8830 4088
11670 12852 28154
12881 3297 20238
2199 195 23138
526 4277 5964
7352 18418 16652
13232 2048 3290
18321 4243 32434
10104 13881 17059
9782 846 411
9402 17232 27793
9329 3696 1523
18134 1512 7367
642 2331 21771
5817 1791 3766
3151 4271 23213
12180 16770 22817
4581 8231 19215
17509 12180 31855
6114 14331 6417
6276 16463 13525
4530 526 28599
14206 18282 20548
13898 4441 4909
748 12987 5662
7087 7164 19640
1568 1791 8985
1481 2425 8787
10894 9440 1510
2844 2055 26106
5482 143 31081
14196 8738 29126
11942 13276 24489
4350 965 32103
6591 3218 11460
3896 15570 11943
8505 5236 21386
4577 16866 10738
8860 5007 3467
15679 3315 18718
12700 9247 5814
8660 12553 3557
17993 13278 14569
11864 10868 13003
15942 11115 24057
1814 9815 14446
7413 4732 24340
4284 7824 18030
5646 13293 32413
10967 10104 32364
800 3133 30149
15948 14306 17621
3951 11240 20874
1162 4127 22134
4443 10950 4852
2407 15491 4870
11870 12430 13467
1549 2502 1068
17499 718 27608
8924 332 9645
30 16493 17982
1299 111 7874
2749 7636 13342
27 226 17864
17839 6789 14158
17624 3748 16073
13134 12881 22888
3838 2523 6800
3578 705 20276
11428 10611 24383
13660 18456 22280
11446 12935 9385
2725 834 32316
5880 15354 15833
17119 16874 7678
13752 4768 5773
10191 10911 6708
2334 9794 18064
15471 871 19758
6990 2082 13877
4303 295 8522
18401 8505 22121
11824 7322 13797
12479 15956 13321
549 12117 7975
2452 11240 24968
1590 5383 26766
14555 4530 8970
1977 6538 4167
14855 9582 18551
12441 18509 17840
9258 13733 32317
11414 1475 24475
8892 4700 26803
6887 5822 20267
1653 12117 26458
3883 10766 23137
5467 13053 13431
6161 2395 13746
13812 12852 2741
9522 1590 13889
1086 14052 24013
109 11259 24203
6362 800 21612
6536 6802 1452
13788 8216 24785
4690 8359 23942
5503 7013 25297
12861 4530 13937
17866 11995 31047
16814 8353 7995
10221 408 25113
3405 13571 30368
17987 2011 20319
4789 14206 16263
4877 8411 15686
1781 14437 7075
819 14124 26567
6230 10345 18504
11827 2405 20561
242 4690 26521
14499 1663 8945
4484 1216 21591
2760 11159 1948
6543 14437 18677
3920 2331 22438
14367 1258 21190
18155 11446 6294
14366 14986 28759
15547 8070 21707
12575 8534 26203
3634 14367 16303
10337 10727 22698
10247 4109 22130
2561 6230 7499
1188 1370 12158
8077 12319 7550
12983 9008 14883
11268 965 32058
16579 6975 7472
3095 195 15271
6786 5402 32364
2377 18515 8051
4751 1875 5683
15402 11070 6166
2360 14423 22950
10129 5887 22883
8527 2818 2851
4672 7507 26870
9959 11671 29705
11544 2768 11611
16940 5827 15348
993 10834 23818
11566 9674 4338
8104 1875 32647
13582 2509 29024
16800 16463 7493
1189 9935 13171
17792 2523 19240
8282 15676 12179
184 977 1195
12252 1194 2587
14390 10129 21529
15300 12621 19989
4319 13714 10854
8530 9390 11783
3991 8534 4224
5899 12776 8439
11932 14439 6700
2325 11864 296
3172 12202 18131
2042 3696 8001
7094 6478 22223
5805 4214 14294
139 2706 7182
6111 11932 12954
15935 12901 805
15076 3913 22934
13277 17413 3634
12737 10406 7224
6919 3405 19737
10854 3951 17703
14868 12707 5888
11712 12852 6922
17348 8511 30482
4674 7091 978
9446 3874 29430
12309 6362 16164
15011 5030 7043
13780 9098 30705
13924 6984 18570
14991 2484 5738
6590 11240 1747
6646 13522 12992
2172 11864 11173
7879 15491 7807
3899 11466 17262
5491 14019 32100
15968 1822 14690
6920 188 10224
13361 3883 13355
11059 11740 24888
12083 700 18439
18500 12202 5788
15218 5388 22753
5821 2765 15199
12999 3245 26436
9661 4700 11110
9528 15764 6468
11791 2692 10118
4784 5470 11434
4887 1522 17182
1399 4627 12804
1897 2952 19960
2275 11240 2157
18415 3256 13995
5476 8532 8232
12254 5817 24808
10030 11824 7774
10581 8738 18557
7278 7927 9895
8372 14761 21754
8481 7480 24354
4823 10696 19250
16183 13548 19015
10817 14009 8466
14818 16940 23991
9127 11552 28038
15142 17119 24506
5662 1781 4448
17634 4368 7465
15486 8399 22400
7299 15344 2038
9027 2048 31147
12795 4624 21136
1751 11671 1241
14755 12589 14036
11741 9402 21213
13607 9905 22349
14906 8070 2224
100 4127 8172
5011 609 4047
13090 8632 18308
11625 12845 9836
13923 11152 9646
14497 11801 13654
14108 12490 2268
9107 9465 27632
14436 8200 9924
15987 17993 397
2810 11801 13685
12869 17898 14597
12123 865 17831
15775 8372 11876
11020 7915 10026
1670 10191 24579
2633 16874 1664
5110 17899 7017
4647 3867 7944
10294 9204 19393
13217 5304 24385
1632 11971 27349
7992 14080 17677
5294 2502 22207
3507 5322 5635
13597 17993 24025
725 12738 31781
7803 18133 16273
7057 12007 2465
2369 11268 31785
13379 8549 18017
1178 12157 26254
3132 8559 16532
6769 8033 21193
6220 3288 13689
1043 12319 16570
12482 8077 23056
2268 8490 22039
13911 8406 9092
4318 14133 11248
5242 5383 15712
1915 977 13081
4455 1436 12277
16477 7773 4179
12224 11886 9086
4748 763 7176
10112 8632 15577
4280 4271 31477
4650 15968 22262
3659 6146 23580
5397 3120 26702
10987 3991 7624
16802 7413 17915
1819 14390 16025
13559 15472 15942
5980 1819 24773
6245 8527 17098
8948 15354 5401
9175 3920 7805
7829 9214 28763
4499 12921 3647
422 1590 26907
12468 14133 4792
5334 13095 29979
17144 27 2229
16140 18499 9420
5755 13664 4415
4265 14217 24736
18405 10760 9506
12788 11195 16149
17349 1481 26524
18013 8062 31683
6014 3102 31345
5422 5011 14052
15046 332 18837
11542 14019 8703
2869 16493 3874
9779 8685 27070
276 17341 16486
6463 891 22049
10123 8338 15136
4542 8837 4484
9253 12723 30275
3647 9674 7220
7345 877 15330
2189 7221 30085
14665 1679 6669
8063 5977 17579
1829 1614 22212
14686 12810 6853
11036 5646 22354
3979 1980 5328
2322 1880 9639
2191 11712 32651
16831 180 7818
7910 3537 30828
7113 2749 27078
16028 5572 11824
8485 3405 14736
9369 14416 10423
7031 9905 219
1624 9013 13094
4661 16111 26718
2951 7290 29826
8356 11827 22642
13089 9522 16966
12918 3327 525
13800 14686 5538
11860 14052 31628
173 14206 5982
14590 18022 22027
9650 13714 16286
1608 6672 5751
9657 7252 24058
14850 14690 18845
6314 2772 21404
14624 8268 3307
11751 1178 11377
10051 10191 28056
11280 143 25993
4163 13134 32361
4270 5800 24115
39 14212 2139
18184 5918 32391
8294 9794 21712
2645 6697 22865
2689 9517 20496
14387 834 18587
8965 16477 14656
6094 1614 2892
12037 12921 20771
14428 16687 3990
11126 180 2867
4311 2855 10530
13185 8566 15617
4364 4177 17219
2860 17001 13785
15221 10005 32406
8647 109 7445
14793 9517 26323
9908 2268 32691
13841 17977 22719
6652 10882 9727
6195 10591 6533
9141 11824 12402
710 4180 22483
7402 1601 10006
12842 15942 9368
15429 4027 10513
17046 1153 13365
5853 6909 21024
8827 6659 14965
9206 1590 18992
13569 10670 17084
10440 7085 22352
10335 2951 21272
10103 17839 17587
12915 7824 17476
2032 6007 4480
9311 12951 20927
4960 13679 12443
5392 9605 19578
5010 10696 16047
18469 5848 24534
17451 12247 1571
9618 79 19427
14652 16690 189
10893 11018 10529
7721 3494 21790
14870 4647 2350
6328 12441 8805
1461 15709 25898
2796 6590 22159
6325 2987 5563
5343 8559 23674
1680 4065 23020
7989 3829 13450
14320 4960 2410
11344 12725 5989
12450 4624 17345
16250 8837 9290
12221 12861 4520
15122 6463 25822
602 3130 20105
11635 7413 11922
16708 10736 8119
12128 14416 11753
6299 11152 3099
10653 14888 16967
14414 9769 16957
4002 3621 20756
15289 6276 5104
11700 8870 27982
15599 16028 30224
15064 5242 11502
13625 4647 14349
8125 13559 22435
5458 4407 31295
12068 8532 21194
18453 16958 31537
6004 6375 23738
4293 2774 29540
12477 2951 23989
15264 12069 13375
5077 17909 24346
14964 7957 27176
7364 2860 10676
18271 11009 2797
7506 10272 12854
4110 2032 28950
5238 2327 26434
16160 16447 14766
3549 8270 13966
14247 18445 32164
17264 571 18184
16440 8632 16604
15670 7549 1030
4525 13026 16510
15514 1624 14814
3987 2587 30505
18390 9260 16005
4720 2130 2324
929 6769 258
1223 14212 9031
10499 8240 28882
