63 28766
971 3441 6437
2718 4240 7360
2017 3237 4594
1848 3600 2382
2273 1953 5931
1475 4158 3363
1094 3953 3155
1037 3972 2686
3377 2582 7511
4400 410 8411
716 410 7505
4134 308 5584
2774 4788 937
2892 907 2897
1374 630 5474
2044 823 1767
2432 41 4830
3046 2332 3677
2558 4158 4716
2154 314 4211
963 404 1284
3823 404 2336
3117 404 7808
276 2123 656
2680 3874 5022
1614 114 1160
4441 1224 2287
4590 2792 2019
1747 2531 4565
4086 4805 7259
920 2258 5209
2505 2067 3331
3406 2402 5700
77 2154 3576
371 3480 7757
2938 4547 2444
353 3237 1304
700 1248 5533
4837 616 616
1233 1115 6216
3916 1300 1183
102 4512 5092
773 2258 2158
2604 1605 5618
4032 1780 1448
3104 4788 2816
2022 1411 3492
3176 2522 1788
509 1374 577
337 4240 6039
390 3977 4022
2047 4177 7811
3157 1437 5278
1683 3598 7139
2761 4505 1822
3729 1420 8284
143 1333 6298
1996 2047 1815
1935 2139 2700
4513 907 416
3883 1760 6282
782 3261 4199
4444 2568 25
838 416 5215
2418 1333 2303
484 1788 6749
3038 382 2342
3715 3117 8442
4006 3161 1114
2 3688 4191
4317 4386 7046
2186 4210 5935
528 3600 2758
1618 485 3354
2166 1475 2157
219 1593 5837
3802 1308 3295
1477 4757 5913
804 1747 7119
3732 4690 7562
3884 17 631
3657 700 8107
3515 4547 5291
4772 4788 5470
3835 2394 3952
3364 4615 5634
3622 3038 8425
4384 4450 1672
831 2680 1579
327 3038 3074
4662 2920 5601
1277 4086 3702
2161 1568 8776
245 3046 8378
2430 509 763
2114 4240 7746
990 2332 7287
1795 1454 4609
204 4240 2816
651 2593 92
1850 3122 6729
1067 1114 6947
3716 4154 7856
813 429 2601
3391 3857 2541
1087 1889 7715
694 4564 3724
1825 3657 400
4823 2044 2984
3738 1302 1400
421 3040 4658
3317 1212 3648
4036 2617 2718
3370 3159 4343
1774 337 7489
3677 3013 2862
424 2680 4674
1686 616 3016
4771 3972 819
2602 3238 7474
728 404 5525
402 1780 2431
3918 1618 3553
1571 3038 8670
1752 3918 3432
1556 1848 2643
695 3317 1577
3463 3212 7625
3053 2880 2435
1246 4197 4564
498 4505 5803
2171 4612 2089
2453 3040 2331
4519 1087 2465
1853 2236 2066
1318 1618 8822
1337 2282 5101
1882 3364 2431
2142 3835 4613
127 1302 5481
4692 4448 163
3060 1752 2115
3368 1248 2332
454 1475 2473
1629 4441 6397
4647 77 5297
543 2169 4899
2307 2909 406
2598 4444 8150
1265 838 4185
3997 3040 2890
2982 1511 1287
1714 1224 5446
1422 4448 7258
1110 3212 3090
1050 3159 1361
3120 2139 799
4479 371 5904
4419 1420 426
807 3159 5503
587 1300 5081
262 4387 2610
2371 3835 611
3969 509 2777
3636 1050 6107
756 1519 2081
606 3056 3028
2247 4378 5759
1836 4378 3450
470 3480 2918
2342 4291 5070
4491 3343 3537
3803 1629 261
2706 1099 8168
2934 262 1316
1484 782 3443
3346 3713 620
4021 990 4847
1621 3176 8404
3422 2598 7140
861 1076 4121
2144 4697 7534
3475 3122 708
2069 3261 6912
2592 4499 3639
2385 1477 8248
779 804 3431
4122 543 7528
4016 2349 3814
1297 4475 5689
4281 1475 5289
1557 4029 4077
3453 279 8562
4140 3122 8203
4253 2592 2955
2549 17 4617
2687 4387 7579
570 3475 94
4800 606 2303
3427 2582 3165
90 630 1276
955 2568 5284
1797 3969 4241
1810 1376 8842
3514 4378 2048
1078 1581 7895
4258 1774 6590
3359 4253 2015
3791 1079 2718
2291 4370 6742
3433 274 8412
1032 1376 2926
982 429 8436
3409 1519 4945
362 1094 8069
4315 1265 6896
2127 1996 5185
2045 2307 3336
355 1067 3649
137 3056 8680
4042 1374 4448
4452 1935 2624
1946 3857 5710
4674 3422 4730
2361 4612 2784
883 3870 4319
488 1853 3532
757 3791 8168
1290 1374 2043
222 1449 4622
1322 728 3150
1361 2934 3266
3808 362 4101
473 883 5708
1459 1114 6390
2967 4764 7215
3832 4757 4807
2726 2291 3454
805 833 5652
2987 2315 4545
1586 1129 6983
4502 729 3320
2626 3514 2130
1815 982 1123
1723 1094 1107
5 3677 3077
1405 596 6217
4045 3972 1854
4379 1568 975
4076 138 8230
1862 3977 7938
366 695 4753
3618 2892 6667
2820 4419 3985
4061 4674 7474
1708 503 2041
789 2820 8661
2883 1114 5095
3613 4448 792
3902 1556 6819
1897 3326 4690
1832 90 4840
2748 2458 6416
4613 402 2431
602 2224 3251
1024 362 7608
746 498 573
4801 1224 1227
1161 4246 7384
1239 2315 2929
611 3091 7505
636 484 6271
1851 4505 6901
4478 175 6596
3609 1593 1687
661 2769 5289
4217 4690 688
2805 4674 4708
2229 488 6748
2759 700 6880
2141 4258 4061
2790 596 5213
1485 2718 6959
1082 491 3582
4605 813 1561
4862 1571 10
887 4512 8686
1331 1815 6022
923 1810 6368
4701 416 1771
4453 3056 8110
3197 2505 5447
1182 2458 2042
3604 1198 5653
1219 77 5267
2056 1955 2664
264 3618 6952
22 4032 1315
3583 4082 6559
4356 3441 1347
49 3713 285
788 4475 1676
383 153 7254
83 971 2797
719 543 5687
973 2505 8326
2077 77 415
4308 4564 5595
1875 1998 2333
1432 2458 6110
418 4281 4734
1849 3643 2987
765 522 5407
505 4837 4143
624 4860 6294
2693 3792 3204
240 1714 7284
1159 1449 3610
91 3370 4084
2065 3126 6718
228 3261 4459
4399 308 7901
2676 131 4993
1191 505 806
519 3325 512
149 3823 1867
3163 1331 1941
4457 2273 7287
3418 831 6608
1382 2567 3780
4173 228 5943
257 1593 4660
1748 4036 2761
1201 4612 3610
4150 652 224
4625 4690 4206
3420 2567 5753
2918 2769 1287
2503 2617 8249
1430 4647 114
635 4465 3384
2623 1787 6845
911 3281 4312
1326 3922 6001
3817 3237 5702
4245 1212 6098
4555 4452 4214
3999 3643 3336
4867 1300 3517
4473 2077 7069
2950 257 4646
4098 1198 8656
2136 4613 4468
4638 4836 1705
1694 1037 5251
4 2461 1135
2380 611 3444
4337 3053 2114
2140 2769 2478
1015 3672 3965
2678 3643 6932
3156 2963 1161
2538 596 8402
3976 1032 4668
794 204 4440
3506 3480 869
1859 1727 3241
1438 3377 4202
4495 83 6800
4186 2061 567
2375 3041 4842
261 1593 1036
2138 2568 1699
518 491 5233
2205 454 7207
427 1784 2933
1393 1549 2203
644 1437 7916
4813 137 1472
2455 1549 5379
4415 146 2272
4112 1862 1428
896 1485 283
3392 4246 5245
342 2805 2586
4313 4612 7635
1841 3030 7483
1482 228 3921
4464 3176 5842
4840 257 617
3533 4473 4285
886 4150 4649
2846 1295 8249
4719 2402 976
4333 91 8402
3301 2139 1818
1017 4719 4314
1234 3916 4680
2543 4564 1539
278 114 7384
3684 2358 5098
1056 1198 3624
3292 1787 7736
3861 4585 6209
1922 2623 3548
3054 1094 8149
1535 4718 1246
2946 1581 4123
2421 694 4525
1667 746 4827
2621 644 3946
2826 1405 3564
497 3803 3635
775 694 7572
1612 4555 730
873 2127 1744
393 3729 5687
2303 2067 5959
4593 1393 6556
2647 4291 5699
389 1037 4905
43 719 2789
850 2726 678
4854 3857 7541
328 1265 6498
3092 4860 282
562 3091 1943
559 2759 1826
2840 5 934
798 2833 6600
869 1295 7118
14 1593 4602
960 4043 3053
1332 1557 3677
3134 562 608
3994 418 4640
3260 4173 643
4346 1996 4476
4846 4379 7243
4138 3847 3530
3479 3972 2824
2675 274 7200
1805 3030 3977
4077 3371 5288
3023 4386 4623
3111 4785 887
1315 3301 3506
4431 2826 6408
173 3781 7403
2533 4862 8109
2252 2171 5090
2927 2774 2056
2824 2520 7195
4815 1246 7536
3944 1849 4569
3407 4499 1404
742 3916 1125
4375 1432 2424
4187 4415 8800
3187 4718 5873
783 4465 4849
2645 4138 2201
1602 3261 380
3361 4415 4771
4432 4813 5858
1043 1277 230
1143 775 2389
1528 2631 4713
690 1952 1960
4582 1114 508
4358 3493 5566
924 175 6009
2753 2880 6788
1236 2258 6093
3938 3936 8832
678 624 250
1992 1322 8029
2275 4513 4307
1472 1078 1082
826 3994 7528
996 1614 2245
3628 3997 2620
3148 996 8193
3663 1787 1741
2661 1382 3765
2336 149 1033
443 4387 1814
2438 3126 8136
3262 3161 3209
665 1727 3878
313 518 2444
1152 204 5339
2660 3126 4881
684 3861 8053
2466 913 935
3044 896 4738
1377 3533 4513
524 1472 986
692 4771 777
373 4625 6693
2211 1067 1917
2122 2538 7508
1473 913 3352
1877 421 2665
4476 3475 4019
4580 3729 5073
2722 3197 4345
1997 2661 8061
4221 2958 2095
1654 826 4117
108 1629 7434
3497 850 2610
4207 2950 4253
1103 4514 2970
1174 236 2176
1707 1875 3705
1157 888 3885
4090 4453 5518
4556 4519 6716
4031 1333 2167
3069 3803 6054
3812 4031 3819
3819 1941 454
499 4647 4767
1649 1331 2802
799 4604 5031
2296 3677 8276
172 4452 7932
3250 2139 8594
2026 2258 1282
4602 1477 4612
326 2769 4629
1158 521 3345
4777 4464 1048
609 2621 58
3107 1454 2671
1506 3377 6909
3700 4785 6099
4685 31 852
3535 3364 6717
2277 1654 3801
4741 611 1378
4796 2982 7574
3043 4499 3639
1949 3072 5378
3321 1941 2375
1073 2753 7650
4028 4590 8579
4549 328 1313
1835 1073 6583
374 4867 2935
4739 2455 3492
839 896 8376
893 3409 769
1790 3792 7826
2328 383 2488
4709 570 5208
2373 2458 8164
305 1459 1784
4874 2430 3082
4747 3377 6542
122 1952 4648
65 1485 2983
2711 4876 471
3730 2139 737
1651 4378 6876
998 3368 1579
2415 695 3129
4607 1686 2180
3204 4379 669
4097 4837 647
1471 1198 5077
3227 473 1462
1800 1689 3080
1579 393 4433
293 2568 2635
3875 630 1082
3522 4564 4879
1222 651 834
1541 3792 978
1431 726 5392
2861 609 1010
3282 4625 7115
256 4140 7606
2654 570 3552
3150 616 2170
3143 2982 8130
1636 1437 192
4486 4399 5095
1648 83 378
1804 4187 5306
1640 4221 5831
2540 3038 5377
4619 602 8470
663 222 5165
4553 262 5749
150 256 2263
1004 4556 5244
1184 1290 7807
2391 1182 7724
613 4029 8516
2611 3636 686
3335 1581 1339
1133 1519 2202
3630 3972 3284
2897 3479 2528
1754 3792 8330
4663 382 3468
4462 2391 1089
4666 773 5746
812 3069 3729
3135 2291 2598
1328 861 1106
2827 1689 2989
4825 4749 3354
3642 219 5100
2514 2391 1856
1185 2161 2374
1121 3030 4168
4357 2342 5790
3488 2680 5546
215 2380 7600
3818 4491 5830
4279 4771 3008
4589 4836 1509
3460 2722 626
3651 3604 5223
2264 782 5443
3298 2840 2489
504 3475 2662
4483 4813 5696
4629 1222 5440
2552 4602 3861
182 1422 5917
1653 1087 8290
481 2380 1465
3384 3040 5551
2193 4358 2540
2632 4747 5885
1366 4173 7737
2657 1143 934
1562 3583 4850
3828 2567 5425
4807 2418 5002
4488 3630 5767
2985 2892 3454
640 690 837
506 2788 4637
1281 1477 5588
1051 1727 2021
2018 4548 4815
3776 1686 1372
2314 1780 4896
3739 1308 3320
486 3972 5631
2607 2315 7403
2207 3054 2031
3510 2617 1836
1445 2161 7603
2012 3677 5595
4696 17 7026
1211 1322 84
4073 3847 2748
2974 920 3329
1696 1941 6023
3188 2022 7347
1063 4457 168
2756 393 5291
902 2711 7693
2551 1222 5642
4537 1836 2591
309 4378 2345
3442 3791 6831
1990 4613 8353
637 826 2764
4655 4549 6701
3223 2044 4432
2338 3622 6207
3578 1997 119
394 91 2805
2143 2676 1178
2504 3134 6361
1410 3832 1826
1189 690 6111
461 742 3671
4366 4073 446
3813 4615 3613
1705 2604 357
2991 2349 6060
2642 1420 7290
3660 893 1544
2962 3497 3402
2527 4158 3344
4599 4186 8701
4688 611 1417
2079 1459 6172
1857 1889 4501
2192 2236 8467
3620 3832 1425
4137 2315 85
462 4366 3435
3499 3672 6896
1404 2380 1525
935 695 3738
2125 3134 5538
671 485 477
3464 3792 3927
3065 624 5254
2226 4629 8271
1287 2193 4231
4776 2985 5557
1934 327 2778
3982 3168 5113
1871 2142 6600
4421 3053 2838
1232 1234 6415
2163 3418 2911
3253 1850 3698
4290 2840 811
727 2688 1610
4565 3716 5696
2844 4745 4356
3329 3135 5317
474 3392 3006
3288 4777 8609
4471 3874 1377
540 2592 7965
4705 850 3100
4236 1082 5692
1532 143 5899
3947 3613 3602
1833 4154 486
4316 1707 178
2785 651 2026
4130 3613 5983
777 3335 2180
2190 3636 8606
4529 2889 4500
1837 540 927
1075 4688 8754
1963 175 2414
2305 4874 3374
1424 2123 4027
3928 4197 1879
4132 4580 6530
1809 1654 6451
962 2504 994
3350 4647 7119
2474 1376 3216
2550 3861 5068
166 973 3736
3146 506 7352
555 2224 129
2714 4006 7973
931 4823 5964
2773 4357 7598
4139 4560 5101
3906 1265 1155
2228 1535 4952
2027 3874 5845
682 3377 1803
642 3713 2550
1217 1705 727
2862 1174 6067
468 613 572
2414 1871 3210
4568 461 5366
4753 2680 6002
2111 3159 2868
1856 1707 3107
4806 3739 5966
3246 4674 6642
1948 4777 736
1316 690 1299
3132 4580 1277
3037 382 4014
806 3598 1659
733 4464 8016
4765 1078 7952
2635 637 628
2734 481 4745
2112 2127 5106
573 4772 2376
4129 1143 2652
3439 3104 4497
387 4556 7555
2403 3433 1862
4656 2785 4352
945 3377 3841
2023 4366 5914
133 4776 26
908 382 4267
2041 2380 1938
3920 1841 8570
657 3120 2474
1812 4134 4695
4838 1422 3241
372 418 4634
725 1934 7945
4673 2880 3568
4322 264 6169
56 4415 7508
1722 2726 967
4252 902 1525
3873 2632 8775
864 1248 641
1728 1836 3274
2828 1586 1018
24 2186 42
1272 2186 2942
3998 2305 548
4563 394 7577
3243 773 1955
1098 2163 6703
54 4813 2002
1053 4548 4765
2610 2371 364
1740 4021 2390
2424 2114 2727
4310 1078 6044
749 4006 6562
1570 2027 5342
1323 883 1057
1662 2163 7247
3224 503 1009
4293 2186 4997
3101 973 4263
858 83 1940
688 2654 1105
3011 3377 3779
4106 726 4510
1173 362 353
925 4701 4459
217 102 2437
3627 4607 8371
1155 1438 7495
2292 2918 7710
1305 3407 3740
3045 3013 8305
814 2136 2794
3930 3998 3247
784 3370 6864
3494 4375 5940
3320 138 3403
4411 2621 7516
16 4795 3605
4396 2169 5472
3400 4560 5711
4649 3011 2940
4352 3583 1640
2779 4021 8327
1994 690 3209
1620 3713 1396
188 1454 5585
1817 2079 4648
1791 2675 5376
2939 3792 4607
583 1528 1397
3324 362 3045
1190 3944 7685
1216 4685 5297
4855 2889 2141
38 3972 3770
758 4807 5785
3504 114 3220
4360 1850 6416
1734 688 5272
3826 757 6603
4803 3738 5787
3073 682 212
4412 522 8658
713 2748 5495
836 3677 5821
2686 2844 4624
1020 1856 3310
1981 2593 5888
106 1853 3522
1779 3161 3383
120 4333 4381
3596 2284 2188
4131 4236 1763
3039 402 4009
1892 41 5851
891 3442 3138
3648 1024 1631
1700 4777 1011
3124 2432 5944
1309 555 2050
2638 1889 7720
4597 4346 7406
3094 521 3525
2794 497 4315
2043 4432 7858
3035 3420 8099
4198 4656 6754
3795 935 8374
4642 256 3548
2746 1878 3595
2298 2371 435
921 4560 1237
192 3350 1958
1386 2621 664
4298 1472 4012
1988 1459 7320
2936 1848 557
2589 1152 7688
3002 3604 2553
3476 1581 2681
86 665 1763
4826 518 8052
2821 468 2976
4591 4511 4651
4311 3494 634
2933 3335 8271
4237 1629 7939
3112 3094 5949
155 1424 736
1427 613 8664
4730 4029 8202
4294 1747 3658
1303 2373 7162
2479 2661 1870
1269 3420 4044
3160 2433 2445
3644 1015 4928
514 4386 4868
2146 4073 596
2935 3938 578
3914 3648 2147
1498 2935 5694
4133 1694 7743
4878 4662 4319
112 1850 7174
4501 2047 5607
1235 4519 5744
1673 1076 1569
2947 2144 2409
3855 4322 2947
535 16 8158
2423 1990 7032
2006 945 5692
552 1222 678
2620 3013 459
1238 4815 4312
2135 2240 644
3806 2336 3696
3413 1182 3167
3758 1073 4594
1906 1581 3225
3794 17 1043
1523 3135 1738
1616 3819 1893
1729 1779 626
4517 609 2691
2126 2122 8064
1394 4685 1938
1497 2661 3689
2231 555 8136
4442 4437 8048
39 1432 819
4851 690 2818
3200 663 1543
2576 4090 8168
3830 2205 6530
1639 3030 5395
3209 3321 3781
2462 2950 2486
1762 3875 5825
3070 418 4243
4024 2190 1280
3275 3972 7491
3491 839 6370
4022 4638 3257
3256 2958 5657
3882 2688 5101
460 4097 6138
3899 3238 2084
4839 86 8806
2055 4800 2935
946 3835 8776
4736 3522 5272
4509 4432 7042
4081 1683 3636
1467 2785 6508
350 1705 5333
4274 4028 2246
4147 2166 249
4320 2325 28
957 2540 5619
1446 3377 535
1588 1708 5199
2702 3491 4922
1000 1689 1387
3051 2098 2279
3666 596 1916
2321 3870 3825
1745 4281 4058
3773 1328 3963
1453 4396 1743
605 4585 1684
793 1082 8651
1718 4061 3111
2159 913 214
2783 2453 5827
2808 616 3248
4802 3146 8103
1415 3918 5057
828 1679 8292
3995 114 6120
525 4452 2484
2085 804 2474
3194 1639 5961
1764 4043 5246
3694 1374 6473
2072 1076 2017
303 1159 1078
3911 2332 3983
2616 814 151
4440 3729 520
3309 1185 8790
440 2136 2906
3222 1078 8651
4175 794 4708
4232 4862 5490
1566 404 1728
170 150 7628
683 3643 532
4213 3514 5318
1356 4488 4899
1910 1948 8421
4610 4602 2386
556 4399 6509
4216 4662 2355
3306 4813 7253
3702 2458 2589
2456 1318 2412
1820 1791 5168
560 43 5278
810 3160 4723
1068 729 4037
2060 4549 6897
2188 3350 3620
1730 2180 5723
3659 1155 2996
1615 1862 2029
800 468 141
4844 2140 6504
2575 2315 2307
3706 4514 1434
4185 1173 2313
4149 112 194
384 713 7536
3114 836 5951
3395 314 5682
3448 1662 1753
3607 141 1712
1355 4826 5959
4121 1445 4226
4402 309 2979
4145 2614 1475
2484 4197 6578
4576 4499 7649
4524 2654 3505
3612 3533 6214
4376 4090 5720
4809 4122 3740
294 4139 8493
3226 2169 7254
932 279 2814
4275 700 8263
3079 3409 2496
767 1934 1118
3021 1511 5657
495 2193 1041
852 1175 453
275 3609 516
822 2617 2913
3190 1020 6262
227 4802 6608
3266 440 8613
3290 122 4378
1325 1994 7767
185 2638 5513
232 4876 3811
2119 4529 7017
2847 3715 7827
4354 2236 4167
3754 2180 4624
4865 4387 5591
4699 4387 5329
3221 1051 906
3017 3817 7409
1359 441 4686
3201 1216 5963
3416 1087 2731
2594 1851 3824
4559 2540 5543
288 3835 4916
681 1393 178
1218 1639 3981
4189 2702 1982
4414 1272 6562
2436 4450 575
4531 4122 2380
910 2841 1882
323 275 620
995 313 3474
2596 3583 6100
3251 4130 635
1341 1366 1140
1262 3583 7123
298 3803 7299
2103 4090 2679
680 560 547
981 2820 6554
1048 4293 4209
1870 4823 6776
322 4240 5398
4355 441 8517
1660 3607 5295
1081 1722 5449
3712 4825 5839
4193 1017 3515
3789 636 5468
1285 1056 591
1066 1779 1169
93 4452 543
1978 775 6318
1057 2660 978
718 4061 231
3635 4788 5680
4171 122 3498
496 2638 1806
1671 4764 4454
1538 4501 1378
2924 4809 3864
549 758 8369
2919 1618 3034
4687 4253 1316
3337 4177 2461
1466 602 5195
2469 3017 4081
4579 3135 7801
2765 4412 1101
2233 3944 8366
4633 3476 2069
1676 4177 2098
487 3944 4569
3299 4402 6414
3154 1523 7793
3945 1078 108
3799 1788 5690
4176 424 2383
1042 3494 5992
4566 4687 1215
1254 2623 6231
253 4837 1439
3486 1459 5849
2816 2418 7443
4515 973 8604
862 1671 1859
825 1809 1445
1013 1075 8642
2266 1856 5233
4065 314 1937
4306 3817 3297
3579 4210 5863
360 2166 298
3881 138 4344
1844 4149 3766
3584 935 3330
4060 3791 542
2234 2718 3185
842 560 5874
4484 606 5978
4751 3346 1016
4319 788 8746
1105 1103 2001
2583 1099 1311
916 2056 8632
1369 1676 6676
3780 1236 1154
4205 932 814
660 222 3828
1192 4801 7509
1783 3146 2738
3560 2508 1011
448 713 674
1089 1420 5085
4001 2469 8375
1931 1110 4969
4775 4846 3323
930 4633 4781
98 1431 56
687 678 3089
4872 175 5757
4526 1990 1585
4650 3861 5832
1887 4432 6357
3255 2748 889
3012 5 5309
507 4462 2912
4053 1050 2699
2977 3044 7706
1221 728 1092
4108 2567 7543
3393 4021 2792
1627 2785 1663
4027 4803 3487
3116 4553 6107
4170 2722 780
4532 1453 7705
1698 2686 2606
3692 1424 3145
1507 1050 2595
434 227 8624
1278 1694 51
1524 4189 4579
2787 2977 919
646 4045 2743
1106 1762 7269
4345 1800 8310
3979 257 7646
4618 2596 3815
3518 509 4586
4845 4865 6287
3008 4876 5867
2335 3200 7862
1542 4865 5738
2960 4042 395
1338 4629 1621
3482 4185 5407
3654 2103 1092
2738 2122 3267
776 4090 1313
3859 4524 229
1755 1853 651
2547 172 970
2302 694 2235
4136 3583 5921
3907 3883 2933
3344 2298 2518
3680 3317 2210
3178 387 43
4858 3260 286
212 3365 1956
4728 1190 8385
3551 1988 176
1606 3209 1727
1715 4136 6927
3527 2247 486
104 1232 4144
937 606 5919
1796 3659 4922
3668 1812 1033
1920 3239 8719
986 4764 574
3691 2958 2200
1633 2338 6175
2662 4213 8849
1102 4874 2198
1798 3907 4213
4574 646 5704
1452 2358 830
3903 232 2004
3085 1621 4340
1124 1764 8815
2799 833 318
1838 3325 5792
4651 504 1664
1895 326 1573
2387 4515 5555
4070 1037 4193
1179 3936 5262
4204 2224 945
2901 4457 650
3082 2567 6315
3513 1278 2231
715 1265 2680
820 2438 5829
3736 3657 4270
626 284 3587
1624 188 1748
3340 678 8071
4110 1660 7376
3492 973 2455
51 2787 7263
2981 2547 2925
4710 1696 5360
3548 2402 66
1097 4319 8133
3531 2933 8657
221 4090 3922
243 4345 1450
151 2335 1057
4135 1800 5357
3245 1629 4166
3523 1386 5713
4351 4146 4566
582 1629 2682
3940 4650 4933
4770 1466 6185
4078 1633 8816
2285 4843 4176
4779 2291 2619
435 746 4519
629 4739 82
3410 3977 5879
1733 3148 6519
4824 4356 3058
35 2635 3920
3841 3288 195
2605 1236 5555
3964 3045 8763
537 2453 8276
2802 2335 747
1025 481 7012
1412 3953 5811
1464 1102 848
3015 833 6134
3737 1110 8516
453 765 1698
3711 173 2332
4588 3659 55
2341 1640 7637
3528 1079 5163
4344 3256 6704
2086 1272 5745
659 1616 4574
1545 1254 7989
795 3600 4862
3081 4193 3710
3747 3163 2078
3358 2432 2909
324 1431 3968
3695 3754 5763
1065 355 4243
312 3448 1297
1162 2862 4250
